participant_id,gender,fixation_count,total_fix_time,avg_fix_duration,avg_saccade_length
190,male,105,15536,147.96190476190475,0.6346153846153846
191,male,217,26272,121.06912442396313,0.7962962962962963
192,male,148,22848,154.3783783783784,0.38095238095238093
193,male,54,4244,78.5925925925926,0.9433962264150944
194,male,304,35596,117.09210526315789,1.2046204620462047
195,male,216,24484,113.35185185185185,0.6883720930232559
196,male,160,14268,89.175,0.8553459119496856
197,male,254,34424,135.5275590551181,0.5849802371541502
198,male,113,15680,138.76106194690266,0.5625
199,male,73,7952,108.93150684931507,1.8055555555555556
200,male,227,27652,121.81497797356828,0.8716814159292036
201,male,100,11792,117.92,0.5353535353535354
202,male,687,83776,121.94468704512373,0.7886297376093294
203,male,41,4404,107.41463414634147,0.875
204,female,19,1328,69.89473684210526,1.4444444444444444
206,male,302,30448,100.82119205298014,0.5481727574750831
207,female,304,37780,124.27631578947368,0.8052805280528053
208,male,134,15348,114.53731343283582,0.37593984962406013
210,male,142,13960,98.30985915492958,0.8652482269503546
211,female,241,29936,124.21576763485477,0.35
212,male,43,3492,81.20930232558139,1.8571428571428572
213,male,229,21036,91.86026200873363,0.5701754385964912
214,male,444,44096,99.31531531531532,0.9796839729119639
215,male,295,30572,103.63389830508474,1.3435374149659864
